Unnamed: 0.1,Unnamed: 0,Time,PriceArea,ConsumptionValue,DayAheadPriceEUR,WeatherWindSpeed,WeatherTemperature,Year,Month,Day,Hour,WeatherTemperature_F,Solar_MWh,Wind_Offshore,Wind_Onshore,ym,tempbin,tempbin2,block,YearMonthDay,Price_Area,Price_gas,Price_coal,Price_EUA,IsHoliday,B16,B18,B19,Price_gas_ttf
213944.0,317741.0,2015-12-27 03:00:00,GR,4079.0,28.0,5.253123760223389,283.7269287109375,2015.0,12.0,27.0,3.0,51.03847167968754,0.0,0.0,714.0,2015-12,4.0,2.604925591398267,1.0,2015-12-27,cegh,13.7,47.85,8.26,0.0,,,,
1563290.0,2303693.0,2021-11-01 09:00:00,IT_SARD,951.0,170.0,7.087444305419922,292.8492736816406,2021.0,11.0,1.0,9.0,67.45869262695317,82.0,0.0,229.0,2021-11,5.0,4.5506752109377455,3.0,2021-11-01,cegh,65.6,138.75,56.94,1.0,,,,
2016379.0,2857514.0,2023-06-07 23:00:00,LT,991.0,89.26,5.111400604248047,287.6576538085937,2023.0,6.0,7.0,23.0,58.113776855468686,0.0,0.0,306.0,2023-06,4.0,3.377211060407208,6.0,2023-06-07,etf,24.5,109.75,83.86,0.0,,,,
1676517.0,2445345.0,2022-03-27 06:00:00,PL,15499.0,100.92,5.230069160461426,273.84130859375,2022.0,3.0,27.0,6.0,33.244355468750044,1313.0,0.0,1286.0,2022-03,2.0,1.1051871705326108,2.0,2022-03-27,pvb,89.375,325.25,78.6,0.0,,,,
,,2024-08-26 12:00:00,NL,13331.0,16.34,8.054047584533691,292.8090209960937,2024.0,8.0,26.0,12.0,67.38623779296869,259.0,2443.5,980.0,2024-08,5.0,4.540905043890522,3.0,2024-08-26 00:00:00,ttf,37.675,121.15,70.49,,259.0,2443.5,980.0,
1371217.0,2039408.0,2021-01-23 13:00:00,NL,13147.0,51.0,5.29922342300415,277.2210693359375,2021.0,1.0,23.0,13.0,39.32792480468754,23.0,379.0,236.0,2021-01,2.0,1.5466856694431577,4.0,2021-01-23,ttf,21.75,67.55,34.24,0.0,,,,
2132297.0,3002414.0,2023-11-01 08:00:00,SI,1060.0,69.23,2.6386821269989014,281.2076721191406,2023.0,11.0,1.0,8.0,46.50380981445316,87.0,0.0,0.0,2023-11,3.0,2.1626043272588302,2.0,2023-11-01,cegh,37.5,122.5,78.66,1.0,,,,
,,2024-11-23 05:00:00,IT_CSUD,4578.0,137.83,5.334937572479248,278.34014892578125,2024.0,11.0,23.0,5.0,41.34226806640629,0.0,0.0,598.0,2024-11,3.0,1.7091831288745971,2.0,2024-11-23 00:00:00,cegh,47.018,122.15,69.27,,0.0,,598.0,47.018
,,2024-08-16 01:00:00,IT_SUD,2441.0,118.0,4.364082336425781,300.1102600097656,2024.0,8.0,16.0,1.0,80.52846801757816,0.0,0.0,313.0,2024-08,7.0,6.484834161258109,1.0,2024-08-16 00:00:00,cegh,40.2,122.4,72.52,,0.0,0.0,313.0,
,,2024-09-24 20:00:00,FR,43801.0,75.87,5.434184074401856,287.8177795410156,2024.0,9.0,24.0,20.0,58.40200317382816,0.0,95.0,4168.0,2024-09,4.0,3.4107939747158347,5.0,2024-09-24 00:00:00,peg,36.15,114.25,63.87,,0.0,95.0,4168.0,
1764250.0,2552453.0,2022-07-19 12:00:00,SK,3332.0,465.29,1.517263650894165,300.7137145996094,2022.0,7.0,19.0,12.0,81.61468627929692,272.0,0.0,0.0,2022-07,7.0,6.660957016468056,3.0,2022-07-19,cz,159.4,371.0,83.65,0.0,,,,
694908.0,1033140.0,2018-02-21 10:00:00,SI,2248.0,56.98,9.14377498626709,271.9873962402344,2018.0,2.0,21.0,10.0,29.90731323242192,11.0,0.0,1.0,2018-02,1.0,0.894447384782199,3.0,2018-02-21,cegh,19.2,85.65,9.56,0.0,,,,
208292.0,,2015-12-17 15:00:00,DE_LU,68414.0,39.19,7.437685966491699,284.53367614746094,2015.0,12.0,17.0,15.0,52.49061706542973,892.25,2414.0,10200.5,2015-12,4.0,2.755264879909583,4.0,2015-12-17,the,15.5,47.75,8.14,0.0,,,,
